"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2019045295","1","1","","1","06","Y","CHEV","2017","03","1","","1","00","E","000","0","","4","01","05","03","03","TX","2","01","1G1BE5SMXH7","P4D"
"","51","N","2019050113","1","1","","3","06","Y","TOYT","2017","01","1","","1","00","S","000","0","","4","01","12","03","01","PA","2","04","3TMCZ5AN3HM","TCW"
"","04","N","2019048897","3","1","","2","12","Y","KIA","2014","01","4","","1","00","N","999","","","3","01","02","01","03","PA","2","01","KNADM4A35E6","P4D"
"","04","N","2019128559","3","1","","3","01","Y","KIA","2009","01","1","","4","00","W","045","","","1","01","05","16","06","PA","1","01","KNAFE222X95","P4D"
"","04","N","2019127717","0","1","","1","01","Y","MAZD","2009","01","1","","1","00","E","999","0","","1","01","12","12","04","PA","1","01","JM1BK32G291","P4D"
"","04","N","2019046409","2","1","","1","01","Y","HYUN","2016","01","1","","1","00","E","025","0","","1","01","03","01","01","PA","1","01","5NPDH4AE2GH","P4D"
"","05","N","2019048768","3","1","","2","12","U","FORD","2005","02","1","","1","00","W","035","0","","1","01","01","01","01","PA","1","01","3FAFP37N45R","P4H"
"","09","N","2019047803","9","4","","1","99","U","UNKN","","99","1","","1","00","S","999","0","","1","01","99","12","03","PA","1","01","",""
"","04","N","2019048752","2","2","","1","02","U","LINC","2005","","0","","1","00","","000","0","","2","02","12","06","98","PA","2","01","1LNHM87A65Y","P4D"
"","04","N","2019048439","2","1","","1","12","Y","CHEV","2009","01","2","","1","00","E","999","0","","1","01","01","01","01","PA","1","01","1G1ZH57B794","P4D"
"","04","N","2019129657","3","1","","3","12","Y","VOLK","2011","02","1","","3","00","S","025","0","","1","01","07","17","11","PA","1","01","3VWDZ7AJ5BM","P4D"
"","04","N","2019130893","2","1","","1","11","Y","ACUR","2007","01","1","","1","00","E","000","0","","2","01","03","03","01","PA","2","01","19UUA66287A","P4D"
"","04","N","2019045851","3","1","","2","11","Y","BMW","2007","01","1","","1","00","N","999","0","","1","01","07","10","01","PA","1","01","WBAHL83517D","P4D"
"","15","N","2019045992","3","1","","2","12","Y","TOYT","2012","01","1","","4","00","W","999","0","","1","01","03","16","01","PA","1","06","JTLZE4FE5CJ","T4W"
"","04","N","2019046245","3","1","","3","12","Y","VOLK","2008","02","1","","2","00","N","999","0","","1","01","05","02","01","PA","1","01","3VWRZ71K28M","P4D"
